framework,pipeline,question_id,category,difficulty,tier,seed,latency,word_count,input_tokens,output_tokens,cost,accuracy,completeness,groundedness,coherence,overall,status
langgraph,P2,Q08,trend_report,medium,short,0,19.347,475,,,,8,8,6,9,7.6,ok
langgraph,P2,Q09,trend_report,hard,short,0,22.99,611,,,,8,7,6,9,7.35,ok
langgraph,P2,Q10,literature_synthesis,hard,short,0,20.873,538,,,,7,8,6,8,7.2,ok
langgraph,P2,Q11,finance,hard,short,0,21.742,500,,,,7,8,6,9,7.35,ok
langgraph,P2,Q12,finance,hard,short,0,18.55,553,,,,8,8,8,9,8.1,ok
langgraph,P2,Q13,finance,hard,short,0,24.166,896,,,,8,7,6,9,7.4,ok
langgraph,P2,Q14,finance,hard,short,0,21.727,520,,,,6,7,5,8,6.3,ok
langgraph,P2,Q15,finance,medium,short,0,17.669,460,,,,8,7,6,9,7.15,ok
langgraph,P2,Q16,finance,hard,short,0,21.675,546,,,,8,7,6,9,7.35,ok
langgraph,P2,Q17,finance,medium,short,0,19.346,719,,,,8,7,6,9,7.45,ok
langgraph,P2,Q18,finance,hard,short,0,21.943,558,,,,9,8,6,9,8.4,ok
langgraph,P2,Q19,finance,hard,short,0,20.962,648,,,,6,7,7,9,6.85,ok
langgraph,P2,Q20,finance,medium,short,0,19.58,616,,,,8,9,7,8,8.1,ok
langgraph,P2,Q21,finance,hard,short,0,20.954,688,,,,8,9,8,9,8.4,ok
langgraph,P2,Q22,finance,medium,short,0,19.323,584,,,,7,8,6,8,7.05,ok
langgraph,P2,Q23,finance,hard,short,0,21.26,649,,,,7,6,5,8,6.4,ok
langgraph,P2,Q24,finance,hard,short,0,19.874,563,,,,7,6,5,8,6.4,ok
langgraph,P2,Q25,finance,hard,short,0,22.167,606,,,,7,8,6,9,7.35,ok
langgraph,P3,Q01,market_analysis,medium,short,0,23.01,508,,,,8,7,7,9,7.6,ok
langgraph,P3,Q02,market_analysis,easy,short,0,23.689,383,,,,8,9,8,9,8.35,ok
langgraph,P3,Q03,market_analysis,hard,short,0,23.758,778,,,,8,6,7,9,7.15,ok
langgraph,P3,Q04,scientific_explainer,easy,short,0,24.303,570,,,,7,6,5,8,6.7,ok
langgraph,P3,Q05,scientific_explainer,medium,short,0,32.61,606,,,,6,7,5,8,6.45,ok
langgraph,P3,Q06,comparative_study,medium,short,0,28.46,582,,,,7,6,5,8,6.75,ok
langgraph,P3,Q07,comparative_study,medium,short,0,16.418,633,,,,8,7,6,9,7.25,ok
langgraph,P3,Q08,trend_report,medium,short,0,22.546,466,,,,8,7,6,9,7.25,ok
langgraph,P3,Q09,trend_report,hard,short,0,23.667,795,,,,8,7,7,9,7.55,ok
langgraph,P3,Q10,literature_synthesis,hard,short,0,24.285,410,,,,4,3,1,8,3.5,ok
langgraph,P3,Q11,finance,hard,short,0,22.945,584,,,,6,8,6,9,7.0,ok
langgraph,P3,Q12,finance,hard,short,0,24.413,432,,,,7,5,6,8,6.3,ok
langgraph,P3,Q13,finance,hard,short,0,21.768,636,,,,8,7,8,9,7.8,ok
langgraph,P3,Q14,finance,hard,short,0,24.095,561,,,,8,7,6,9,7.4,ok
langgraph,P3,Q15,finance,medium,short,0,21.648,486,,,,8,6,7,9,7.15,ok
langgraph,P3,Q16,finance,hard,short,0,25.408,591,,,,8,7,6,8,7.25,ok
langgraph,P3,Q17,finance,medium,short,0,22.687,560,,,,8,7,6,9,7.45,ok
langgraph,P3,Q18,finance,hard,short,0,24.277,698,,,,9,5,6,7,7.2,ok
langgraph,P3,Q19,finance,hard,short,0,21.875,405,,,,8,6,7,7,7.0,ok
langgraph,P3,Q20,finance,medium,short,0,36.417,508,,,,8,7,7,9,7.6,ok
langgraph,P3,Q21,finance,hard,short,0,19.484,620,,,,7,6,7,8,6.8,ok
langgraph,P3,Q22,finance,medium,short,0,15.683,621,,,,8,7,6,9,7.15,ok
langgraph,P3,Q23,finance,hard,short,0,24.907,559,,,,8,4,8,6,6.6,ok
langgraph,P3,Q24,finance,hard,short,0,23.515,608,,,,6,7,4,8,6.1,ok
langgraph,P3,Q25,finance,hard,short,0,112.112,650,,,,8,7,6,9,7.35,ok
langgraph,P4,Q01,market_analysis,medium,medium,0,22.131,766,,,,8,7,7,8,7.45,ok
langgraph,P4,Q02,market_analysis,easy,medium,0,66.832,810,,,,8,7,9,9,8.15,ok
langgraph,P4,Q03,market_analysis,hard,medium,0,67.159,707,,,,8,6,7,8,7.05,ok
langgraph,P4,Q04,scientific_explainer,easy,medium,0,61.987,993,,,,8,7,6,9,7.7,ok
langgraph,P4,Q05,scientific_explainer,medium,medium,0,64.038,935,,,,7,5,6,9,6.55,ok
langgraph,P4,Q06,comparative_study,medium,medium,0,60.277,833,,,,6,5,5,8,6.1,ok
langgraph,P4,Q07,comparative_study,medium,medium,0,40.167,291,,,,8,3,9,7,6.4,ok
langgraph,P4,Q08,trend_report,medium,medium,0,43.806,875,,,,9,6,6,8,7.1,ok
langgraph,P4,Q09,trend_report,hard,medium,0,70.518,1143,,,,8,9,6,7,7.85,ok
langgraph,P4,Q10,literature_synthesis,hard,medium,0,76.403,1319,,,,8,9,7,9,8.2,ok
langgraph,P4,Q11,finance,hard,medium,0,73.655,1242,,,,8,7,6,9,7.35,ok
langgraph,P4,Q12,finance,hard,medium,0,69.704,1081,,,,8,6,7,9,7.3,ok
langgraph,P4,Q13,finance,hard,medium,0,67.921,945,,,,8,7,6,9,7.4,ok
langgraph,P4,Q14,finance,hard,medium,0,65.227,845,,,,8,6,7,8,7.2,ok
langgraph,P4,Q15,finance,medium,medium,0,61.649,783,,,,8,8,7,9,7.75,ok
langgraph,P4,Q16,finance,hard,medium,0,62.494,883,,,,8,7,6,9,7.35,ok
langgraph,P4,Q17,finance,medium,medium,0,65.698,1134,,,,6,5,5,9,5.95,ok
langgraph,P4,Q18,finance,hard,medium,0,63.284,991,,,,8,7,7,9,7.75,ok
langgraph,P4,Q19,finance,hard,medium,0,72.328,874,,,,8,7,6,9,7.35,ok
langgraph,P4,Q20,finance,medium,medium,0,104.171,833,,,,8,7,6,9,7.4,ok
langgraph,P4,Q21,finance,hard,medium,0,69.375,781,,,,8,7,6,9,7.4,ok
langgraph,P4,Q22,finance,medium,medium,0,72.972,972,,,,8,7,6,9,7.15,ok
langgraph,P4,Q23,finance,hard,medium,0,81.287,1136,,,,8,8,6,9,7.7,ok
langgraph,P4,Q24,finance,hard,medium,0,80.718,1241,,,,8,8,7,8,7.8,ok
langgraph,P4,Q25,finance,hard,medium,0,69.265,717,,,,7,6,5,8,6.35,ok
langgraph,P5,Q01,market_analysis,medium,medium,0,65.298,968,,,,6,8,7,9,7.3,ok
langgraph,P5,Q02,market_analysis,easy,medium,0,71.738,804,,,,9,6,8,9,7.95,ok
langgraph,P5,Q03,market_analysis,hard,medium,0,68.945,890,,,,8,8,6,9,7.6,ok
langgraph,P5,Q04,scientific_explainer,easy,medium,0,76.013,867,,,,9,7,8,9,8.3,ok
langgraph,P5,Q05,scientific_explainer,medium,medium,0,72.804,879,,,,8,8,7,9,8.0,ok
langgraph,P5,Q06,comparative_study,medium,medium,0,69.331,861,,,,7,6,5,8,6.75,ok
langgraph,P5,Q07,comparative_study,medium,medium,0,68.852,1037,,,,6,3,4,6,4.45,ok
langgraph,P5,Q08,trend_report,medium,medium,0,68.767,850,,,,6,8,4,8,6.4,ok
langgraph,P5,Q09,trend_report,hard,medium,0,63.092,775,,,,9,8,6,8,7.95,ok
langgraph,P5,Q10,literature_synthesis,hard,medium,0,71.608,844,,,,9,7,6,9,7.8,ok
langgraph,P5,Q11,finance,hard,medium,0,75.287,989,,,,8,4,6,9,6.3,ok
langgraph,P5,Q12,finance,hard,medium,0,63.372,861,,,,8,8,7,8,7.8,ok
langgraph,P5,Q13,finance,hard,medium,0,80.657,926,,,,8,7,6,9,7.4,ok
langgraph,P5,Q14,finance,hard,medium,0,72.357,822,,,,8,4,6,9,6.5,ok
langgraph,P5,Q15,finance,medium,medium,0,66.058,717,,,,8,7,7,9,7.45,ok
langgraph,P5,Q16,finance,hard,medium,0,66.9,917,,,,8,7,6,9,7.35,ok
langgraph,P5,Q17,finance,medium,medium,0,72.721,687,,,,7,6,5,8,6.45,ok
langgraph,P5,Q18,finance,hard,medium,0,72.342,929,,,,8,7,6,9,7.65,ok
langgraph,P5,Q19,finance,hard,medium,0,70.386,931,,,,8,8,7,9,7.9,ok
langgraph,P5,Q20,finance,medium,medium,0,30.598,,,,,,,,,,error
langgraph,P5,Q21,finance,hard,medium,0,14.089,,,,,,,,,,error
langgraph,P5,Q22,finance,medium,medium,0,66.005,,,,,,,,,,error
langgraph,P5,Q23,finance,hard,medium,0,15.117,,,,,,,,,,error
langgraph,P5,Q24,finance,hard,medium,0,15.591,,,,,,,,,,error
langgraph,P5,Q25,finance,hard,medium,0,15.603,,,,,,,,,,error
langgraph,P6,Q01,market_analysis,medium,medium,0,20.196,,,,,,,,,,error
langgraph,P6,Q02,market_analysis,easy,medium,0,16.46,,,,,,,,,,error
langgraph,P6,Q03,market_analysis,hard,medium,0,13.664,,,,,,,,,,error
langgraph,P6,Q04,scientific_explainer,easy,medium,0,17.071,,,,,,,,,,error
langgraph,P6,Q05,scientific_explainer,medium,medium,0,70.438,,,,,,,,,,error
langgraph,P6,Q06,comparative_study,medium,medium,0,16.729,,,,,,,,,,error
langgraph,P6,Q07,comparative_study,medium,medium,0,18.996,,,,,,,,,,error
langgraph,P6,Q08,trend_report,medium,medium,0,12.634,,,,,,,,,,error
langgraph,P6,Q09,trend_report,hard,medium,0,15.981,,,,,,,,,,error
langgraph,P6,Q10,literature_synthesis,hard,medium,0,16.845,,,,,,,,,,error
langgraph,P6,Q11,finance,hard,medium,0,12.64,,,,,,,,,,error
langgraph,P6,Q12,finance,hard,medium,0,73.056,,,,,,,,,,error
langgraph,P6,Q13,finance,hard,medium,0,13.774,,,,,,,,,,error
langgraph,P6,Q14,finance,hard,medium,0,15.149,,,,,,,,,,error
langgraph,P6,Q15,finance,medium,medium,0,15.959,,,,,,,,,,error
langgraph,P6,Q16,finance,hard,medium,0,13.224,,,,,,,,,,error
langgraph,P6,Q17,finance,medium,medium,0,20.764,,,,,,,,,,error
langgraph,P6,Q18,finance,hard,medium,0,20.237,,,,,,,,,,error
langgraph,P6,Q19,finance,hard,medium,0,13.668,,,,,,,,,,error
langgraph,P6,Q20,finance,medium,medium,0,14.022,,,,,,,,,,error
langgraph,P6,Q21,finance,hard,medium,0,13.498,,,,,,,,,,error
langgraph,P6,Q22,finance,medium,medium,0,22.198,,,,,,,,,,error
langgraph,P6,Q23,finance,hard,medium,0,72.659,,,,,,,,,,error
langgraph,P6,Q24,finance,hard,medium,0,13.914,,,,,,,,,,error
langgraph,P6,Q25,finance,hard,medium,0,23.594,,,,,,,,,,error
